weekending,region,respiratory_virus,number_positive,specimens_tested,percent_positive
2009-10-10,8,3,2164,17732,7.345434403897475
2009-10-17,8,3,2940,20300,9.482325046958705
2009-10-24,8,3,2804,19798,8.309291895916754
2009-10-31,8,3,1988,16222,7.81340282410077
2009-11-07,8,3,1638,14562,7.903364995145343
2009-11-14,8,3,1024,13346,6.358599423381031
2009-11-21,8,3,646,11644,4.529524952130795
2009-11-28,8,3,500,10348,4.577204267613454
2009-12-05,8,3,446,10340,4.2581770131910925
2009-12-12,8,3,340,8938,4.138008645052337
2009-12-19,8,3,386,9030,4.501862756842042
2009-12-26,8,3,260,6846,3.9821209949939127
2010-01-02,8,3,350,9062,3.871872600589151
2010-01-09,7,3,446,8098,5.042945393392705
2010-01-16,7,3,556,9174,9.412302373584712
2010-01-23,7,3,662,9246,8.178102579223944
2010-01-30,7,3,962,10748,11.644662424673838
2010-02-06,7,3,1240,11742,13.761793377416303
2010-02-13,7,3,1234,12248,11.792407383613606
2010-02-20,7,3,1254,12920,10.392864073617986
2010-02-27,7,3,1070,11570,10.062528795377423
2010-03-06,7,3,814,8782,10.515782334405309
2010-03-13,7,3,674,8256,8.933763562089071
2010-03-20,7,3,550,6748,8.429327265420541
2010-03-27,7,3,310,4892,6.630585725729775
2010-04-03,7,3,212,4688,4.556673855187807
2010-04-10,7,3,146,3944,3.6797590844866326
2010-04-17,7,3,80,3346,2.0488517222715195
2010-04-24,7,3,70,3278,1.7533240400316354
2010-05-01,7,3,40,3204,1.0864941370379277
2010-05-08,7,3,38,1924,1.5280163334366352
2010-05-15,7,3,8,1220,0.33425742268001374
2010-05-22,7,3,14,1566,0.6783907497127768
2010-05-29,7,3,12,1448,0.7330035652361223
2010-06-05,7,3,6,1316,0.251059556433082
2010-06-12,7,3,22,1424,1.0461722809325684
2010-06-19,7,3,18,1624,0.8749001871733397
2010-06-26,7,3,14,1418,0.875206700166966
2010-07-03,7,3,10,1640,0.5163387356258188
2010-07-10,7,3,8,1418,0.39051446337964046
2010-07-17,7,3,4,1256,0.3683367526904942
2010-07-24,7,3,8,1240,0.8043971187166854
2010-07-31,7,3,4,1146,0.7038147206394575
2010-08-07,7,3,4,908,0.2693861439357673
2010-08-14,7,3,4,1332,0.17526767526767525
2010-08-21,7,3,2,914,0.1429557330178448
2010-08-28,7,3,6,956,0.3985205195513525
2010-09-04,7,3,2,984,0.11769465592702932
2010-09-11,7,3,10,962,0.5520475355466313
2010-09-18,7,3,4,1286,0.3879800651224957
2010-09-25,7,3,8,1482,0.42984284975131654
2010-10-02,7,3,16,1662,0.621274559090599
2010-10-09,7,3,16,2468,0.43078801604335615
2010-10-16,7,3,30,2558,1.0155121684034603
2010-10-23,7,3,26,2050,4.318061706199186
2010-10-30,7,3,58,3112,1.6116716139347498
2010-11-06,7,3,84,3716,1.8263977967191183
2010-11-13,7,3,130,4448,2.9365102583202716
2010-11-20,7,3,174,4678,4.206050226074792
2010-11-27,7,3,192,4598,3.8219397351215503
2010-12-04,7,3,282,5858,4.853236608605297
2010-12-11,7,3,574,7216,8.262394200300438
2010-12-18,7,3,848,8248,11.171877021977044
2010-12-25,7,3,1104,8966,12.600028517419451
2011-01-01,7,3,1556,10334,15.240615523062367
2011-01-08,7,3,2066,13698,15.725393978047062
2011-01-15,7,3,1956,13090,15.861775223840581
2011-01-22,7,3,2364,13798,17.159788743744926
2011-01-29,7,3,2832,17894,15.881470100840634
2011-02-05,7,3,2962,17826,17.15566539844422
2011-02-12,7,3,3290,20592,16.076513911944836
2011-02-19,7,3,3304,21034,15.83264284258282
2011-02-26,7,3,2912,19690,14.633652233243955
2011-03-05,7,3,2634,18520,13.607029603033615
2011-03-12,7,3,2302,18908,11.332498858584948
2011-03-19,7,3,1446,14166,9.753689136518833
2011-03-26,7,3,810,11994,6.467442321235312
2011-04-02,7,3,468,9614,5.309018288563167
2011-04-09,7,3,338,8676,3.930638700201242
2011-04-16,7,3,164,6586,2.5944532366661073
2011-04-23,7,3,122,5968,2.61135979314599
2011-04-30,7,3,70,5114,1.5684952668869607
2011-05-07,7,3,28,3386,0.843144339557872
2011-05-14,7,3,22,2908,0.6201090844870474
2011-05-21,7,3,10,2832,0.2508738538150303
2011-05-28,7,3,4,2564,0.33130314684780443
2011-06-04,7,3,8,2624,0.2189985290674043
2011-06-11,7,3,4,2120,0.1583453894378264
2011-06-18,7,3,2,1670,0.1237895577518219
2011-06-25,7,3,4,1720,0.1860217077608382
2011-07-02,7,3,2,1716,0.05712239538928486
2011-07-09,7,3,2,1752,0.056323899422782805
